Date,Price,Open,High,Low,Vol.,Change %
01/09/2013,13860.81 ,"13,438.07","14,156.50","13,407.53",7.00B,3.52%
25/08/2013,13388.86 ,"13,719.56","13,741.49","13,188.14",6.32B,-1.99%
18/08/2013,13660.55 ,"13,669.74","13,774.66","13,238.73",6.81B,0.08%
11/08/2013,13650.11 ,"13,469.70","14,050.16","13,430.64",6.64B,0.26%
04/08/2013,13615.19 ,"14,318.21","14,401.06","13,527.81",7.93B,-5.88%
28/07/2013,14466.16 ,"13,899.27","14,466.16","13,613.78",9.44B,2.38%
21/07/2013,14129.98 ,"14,770.02","14,820.18","14,114.52",8.38B,-3.15%
14/07/2013,14589.91 ,"14,594.88","14,953.29","14,413.28",8.94B,0.58%
07/07/2013,14506.25 ,"14,491.07","14,574.17","14,109.34",9.49B,1.37%
30/06/2013,14309.97 ,"13,746.72","14,309.97","13,562.70",9.10B,4.63%
23/06/2013,13677.32 ,"13,417.54","13,724.44","12,758.22",9.52B,3.38%
16/06/2013,13230.13 ,"12,584.37","13,330.35","12,549.82",9.74B,4.28%
09/06/2013,12686.52 ,"13,141.85","13,584.31","12,415.85",12.26B,-1.48%
02/06/2013,12877.53 ,"13,551.36","13,711.42","12,548.20",16.03B,-6.51%
26/05/2013,13774.54 ,"14,373.82","14,512.28","13,555.66",15.43B,-5.73%
19/05/2013,14612.45 ,"15,260.61","15,942.60","13,981.52",24.15B,-3.47%
12/05/2013,15138.12 ,"14,759.50","15,157.32","14,727.70",18.16B,3.63%
05/05/2013,14607.54 ,"13,960.04","14,636.81","13,951.81",10.51B,6.67%
28/04/2013,13694.04 ,"13,854.82","13,897.06","13,637.96",6.03B,-1.37%
21/04/2013,13884.13 ,"13,537.17","13,983.87","13,505.53",13.37B,4.26%
14/04/2013,13316.48 ,"13,345.86","13,408.29","13,004.46",14.61B,-1.25%
07/04/2013,13485.14 ,"13,082.61","13,568.25","13,080.29",16.82B,5.08%
31/03/2013,12833.64 ,"12,371.34","13,225.62","11,805.78",14.95B,3.51%
24/03/2013,12397.91 ,"12,507.61","12,594.36","12,286.37",8.96B,0.48%
17/03/2013,12338.53 ,"12,365.44","12,650.26","12,220.63",7.22B,-1.77%
10/03/2013,12560.95 ,"12,363.09","12,560.95","12,234.48",12.57B,2.26%
03/03/2013,12283.62 ,"11,695.45","12,283.62","11,613.59",11.86B,5.84%
24/02/2013,11606.38 ,"11,564.55","11,662.52","11,253.97",11.09B,1.94%
17/02/2013,11385.94 ,"11,318.22","11,510.52","11,175.67",10.74B,1.90%
10/02/2013,11173.83 ,"11,346.72","11,460.64","11,065.06",12.03B,0.19%
03/02/2013,11153.16 ,"11,254.16","11,498.42","11,046.92",18.25B,-0.34%
27/01/2013,11191.34 ,"11,002.86","11,237.84","10,751.01",11.94B,2.42%
20/01/2013,10926.65 ,"10,941.45","10,941.45","10,441.11",10.86B,0.12%
13/01/2013,10913.30 ,"10,914.65","10,952.31","10,432.97",9.96B,1.03%
06/01/2013,10801.57 ,"10,743.69","10,830.43","10,398.61",11.19B,1.06%
30/12/2012,10688.11 ,"10,604.50","10,734.23","10,602.24",2.19B,2.82%
23/12/2012,10395.18 ,"10,092.35","10,433.63","10,030.44",7.62B,4.58%
16/12/2012,9940.06 ,"9,895.68","10,175.06","9,826.30",12.83B,2.08%
09/12/2012,9737.56 ,"9,584.46","9,775.75","9,487.95",8.01B,2.21%
02/12/2012,9527.39 ,"9,484.20","9,572.75","9,376.97",5.87B,0.86%
25/11/2012,9446.01 ,"9,466.06","9,492.91","9,308.35",6.80B,0.85%
18/11/2012,9366.80 ,"9,141.27","9,366.80","9,129.43",5.59B,3.80%
11/11/2012,9024.16 ,"8,701.28","9,032.35","8,619.45",6.23B,3.04%
04/11/2012,8757.60 ,"9,000.81","9,040.18","8,729.45",5.48B,-3.24%
28/10/2012,9051.22 ,"8,958.79","9,072.39","8,841.98",6.60B,1.32%
21/10/2012,8933.06 ,"8,874.52","9,075.59","8,867.79",6.15B,-0.77%
14/10/2012,9002.68 ,"8,517.77","9,016.90","8,488.14",6.86B,5.49%
07/10/2012,8534.12 ,"8,822.39","8,840.69","8,514.63",5.19B,-3.71%
30/09/2012,8863.30 ,"8,815.07","8,880.23","8,729.56",5.36B,-0.08%
23/09/2012,8870.16 ,"9,071.32","9,112.54","8,838.85",6.04B,-2.63%
16/09/2012,9110.00 ,"9,155.49","9,288.53","9,079.19",5.61B,-0.54%
09/09/2012,9159.39 ,"8,853.19","9,193.27","8,769.47",6.16B,3.24%
02/09/2012,8871.65 ,"8,836.61","8,893.39","8,646.03",6.22B,0.36%
26/08/2012,8839.91 ,"9,140.41","9,150.48","8,839.91",5.32B,-2.54%
19/08/2012,9070.76 ,"9,202.36","9,222.87","9,045.79",4.50B,-1.00%
12/08/2012,9162.50 ,"8,871.68","9,181.57","8,866.06",5.42B,3.05%
05/08/2012,8891.44 ,"8,683.20","9,004.81","8,676.25",6.56B,3.93%
29/07/2012,8555.11 ,"8,658.83","8,732.84","8,513.20",6.44B,-0.13%
22/07/2012,8566.64 ,"8,582.28","8,606.23","8,328.02",649.44K,-1.19%
15/07/2012,8669.87 ,"8,740.98","8,835.80","8,662.72",461.17K,-0.62%
08/07/2012,8724.12 ,"8,922.99","8,966.99","8,695.44",563.07K,-3.29%
01/07/2012,9020.75 ,"9,103.79","9,136.02","8,977.35",531.62K,0.16%
24/06/2012,9006.78 ,"8,837.83","9,044.04","8,619.36",588.64K,2.37%
17/06/2012,8798.35 ,"8,723.55","8,859.04","8,630.66",568.94K,2.67%
10/06/2012,8569.32 ,"8,612.14","8,665.80","8,452.50",531.94K,1.30%
03/06/2012,8459.26 ,"8,278.65","8,647.79","8,238.96",734.14K,0.23%
27/05/2012,8440.25 ,"8,604.99","8,657.08","8,422.50",633.70K,-1.63%
20/05/2012,8580.39 ,"8,617.92","8,740.48","8,496.61",612.34K,-0.36%
13/05/2012,8611.31 ,"8,986.22","9,031.09","8,588.16",718.14K,-3.82%
06/05/2012,8953.31 ,"9,198.17","9,207.56","8,944.63",662.02K,-4.55%
29/04/2012,9380.25 ,"9,471.66","9,472.25","9,332.79",212.45K,-1.48%
22/04/2012,9520.89 ,"9,599.20","9,691.70","9,423.30",575.88K,-0.42%
15/04/2012,9561.36 ,"9,522.70","9,682.88","9,455.32",567.60K,-0.80%
08/04/2012,9637.99 ,"9,565.31","9,690.29","9,388.14",708.36K,-0.52%
01/04/2012,9688.45 ,"10,161.72","10,190.35","9,659.16",695.70K,-3.92%
25/03/2012,10083.56 ,"10,040.10","10,255.15","10,016.05",715.47K,0.72%
18/03/2012,10011.47 ,"10,150.85","10,172.64","9,999.37",553.47K,-1.17%
11/03/2012,10129.83 ,"10,015.92","10,158.74","9,888.30",868.29K,2.02%
04/03/2012,9929.74 ,"9,756.98","10,007.62","9,509.10",869.64K,1.56%
26/02/2012,9777.03 ,"9,726.20","9,866.41","9,528.77",875.44K,1.34%
19/02/2012,9647.38 ,"9,534.03","9,647.38","9,440.41",864.22K,2.80%
12/02/2012,9384.17 ,"8,954.03","9,435.03","8,948.54",845.27K,4.88%
05/02/2012,8947.17 ,"8,939.99","9,018.49","8,887.19",762.10K,1.30%
29/01/2012,8831.93 ,"8,803.79","8,893.22","8,774.23",678.63K,-0.11%
22/01/2012,8841.22 ,"8,753.91","8,911.62","8,744.54",618.69K,0.85%
15/01/2012,8766.36 ,"8,409.79","8,791.39","8,352.23",600.75K,3.13%
08/01/2012,8500.02 ,"8,422.99","8,509.76","8,360.33",413.14K,1.31%
01/01/2012,8390.35 ,"8,549.54","8,581.45","8,349.33",284.95K,-0.77%
25/12/2011,8455.35 ,"8,504.46","8,516.53","8,330.87",307.51K,0.72%
18/12/2011,8395.16 ,"8,363.39","8,471.11","8,272.26",349.62K,-0.08%
11/12/2011,8401.72 ,"8,652.98","8,682.47","8,374.25",520.74K,-1.58%
04/12/2011,8536.46 ,"8,697.78","8,729.81","8,503.03",659.27K,-1.24%
27/11/2011,8643.75 ,"8,269.91","8,653.88","8,259.71",593.63K,5.93%
20/11/2011,8160.01 ,"8,349.05","8,375.60","8,135.79",423.30K,-2.57%
13/11/2011,8374.91 ,"8,631.28","8,655.31","8,359.60",501.57K,-1.64%
06/11/2011,8514.47 ,"8,771.82","8,779.55","8,485.77",648.67K,-3.26%
30/10/2011,8801.40 ,"9,011.18","9,152.39","8,640.42",491.75K,-2.75%
23/10/2011,9050.47 ,"8,764.92","9,086.43","8,642.56",617.84K,4.28%
16/10/2011,8678.89 ,"8,881.44","8,911.70","8,652.26",474.90K,-0.79%
09/10/2011,8747.96 ,"8,733.54","8,854.16","8,689.38",438.98K,1.65%
02/10/2011,8605.62 ,"8,567.98","8,663.57","8,343.01",706.31K,-1.09%
25/09/2011,8700.29 ,"8,547.62","8,756.00","8,359.70",754.12K,1.64%
18/09/2011,8560.26 ,"8,763.61","8,771.72","8,545.46",335.64K,-3.43%
11/09/2011,8864.16 ,"8,578.71","8,864.16","8,499.34",652.08K,1.45%
04/09/2011,8737.66 ,"8,828.46","8,876.49","8,588.34",669.17K,-2.38%
28/08/2011,8950.74 ,"8,802.25","9,098.15","8,751.29",668.59K,1.74%
21/08/2011,8797.78 ,"8,686.91","8,849.94","8,619.21",773.66K,0.90%
14/08/2011,8719.24 ,"9,082.53","9,150.31","8,707.47",612.03K,-2.73%
07/08/2011,8963.72 ,"9,169.67","9,215.09","8,656.79",886.77K,-3.61%
31/07/2011,9299.88 ,"9,907.04","10,040.13","9,264.09",740.62K,-5.42%
24/07/2011,9833.03 ,"10,080.82","10,130.25","9,824.34",617.14K,-2.95%
17/07/2011,10132.11 ,"9,921.50","10,149.18","9,889.72",472.83K,1.58%
10/07/2011,9974.47 ,"10,069.01","10,109.30","9,884.00",586.97K,-1.61%
03/07/2011,10137.73 ,"9,980.16","10,207.91","9,940.47",662.11K,2.73%
26/06/2011,9868.07 ,"9,633.92","9,900.57","9,570.58",607.96K,1.96%
19/06/2011,9678.71 ,"9,383.24","9,695.09","9,346.76",633.93K,3.50%
12/06/2011,9351.40 ,"9,405.16","9,599.90","9,318.62",645.71K,-1.71%
05/06/2011,9514.44 ,"9,467.37","9,613.75","9,358.31",717.88K,0.23%
29/05/2011,9492.21 ,"9,489.78","9,720.73","9,448.00",645.92K,-0.31%
22/05/2011,9521.94 ,"9,547.86","9,588.70","9,406.04",590.47K,-0.89%
15/05/2011,9607.08 ,"9,571.13","9,731.12","9,502.39",632.94K,-0.43%
08/05/2011,9648.77 ,"9,881.67","9,929.04","9,552.93",741.82K,-2.13%
01/05/2011,9859.20 ,"9,964.39","10,017.47","9,782.66",260.21K,0.10%
24/04/2011,9849.74 ,"9,705.90","9,849.74","9,536.51",474.78K,1.73%
17/04/2011,9682.21 ,"9,593.41","9,732.63","9,405.19",611.67K,0.95%
10/04/2011,9591.52 ,"9,731.32","9,775.60","9,513.27",774.94K,-1.81%
03/04/2011,9768.08 ,"9,773.91","9,808.60","9,536.68",938.33K,0.61%
27/03/2011,9708.39 ,"9,541.76","9,822.06","9,317.38",989.00K,1.81%
20/03/2011,9536.13 ,"9,403.05","9,625.03","9,387.95",921.53K,3.58%
13/03/2011,9206.75 ,"10,044.17","10,049.92","8,227.63",1.69M,-10.22%
06/03/2011,10254.43 ,"10,626.97","10,662.07","10,254.43",797.72K,-4.11%
27/02/2011,10693.66 ,"10,504.54","10,768.43","10,448.83",767.08K,1.59%
20/02/2011,10526.76 ,"10,820.78","10,859.39","10,428.38",837.27K,-2.91%
13/02/2011,10842.80 ,"10,689.65","10,891.60","10,674.44",797.42K,2.24%
06/02/2011,10605.65 ,"10,641.30","10,701.92","10,570.62",623.28K,0.59%
30/01/2011,10543.52 ,"10,219.98","10,580.36","10,182.57",826.55K,1.77%
23/01/2011,10360.34 ,"10,318.60","10,496.40","10,278.81",683.98K,0.84%
16/01/2011,10274.52 ,"10,562.09","10,580.68","10,257.99",708.54K,-2.14%
09/01/2011,10499.04 ,"10,484.62","10,620.57","10,476.29",640.98K,-0.40%
02/01/2011,10541.04 ,"10,352.19","10,550.71","10,321.28",556.56K,3.05%
26/12/2010,10228.92 ,"10,292.84","10,376.91","10,209.93",356.42K,-0.49%
19/12/2010,10279.19 ,"10,296.55","10,394.22","10,182.74",455.21K,-0.24%
12/12/2010,10303.83 ,"10,212.52","10,347.39","10,199.73",734.47K,0.90%
05/12/2010,10211.95 ,"10,175.23","10,373.70","10,094.41",730.69K,0.33%
28/11/2010,10178.32 ,"10,075.66","10,254.00","9,918.55",639.81K,1.38%
21/11/2010,10039.56 ,"10,133.48","10,157.97","9,904.92",521.47K,0.17%
14/11/2010,10022.39 ,"9,782.11","10,130.23","9,693.21",724.15K,3.06%
