"SP500.price","NK225.price"
1196.02,11300.05
1198.11,11304.23
1216.96,11514.03
1191.57,11537.03
1194.44,11630.13
1211.86,11565.99
1227.92,11758.68
1233.68,11695.05
1234.18,11899.6
1226.42,11766.48
1230.39,12261.68
1219.71,12291.73
1205.1,12439.48
1218.02,12600
1241.48,12692.04
1237.91,12958.68
1215.29,13159.36
1228.81,13574.3
1195.9,13227.74
1186.57,13420.54
1179.59,13199.95
1198.41,13346.54
1220.14,14075.96
1234.72,14155.06
1248.27,14623.12
1268.25,14784.29
1265.08,15421.6
1259.37,15404.05
1267.32,15173.07
1268.66,15941.37
1248.29,16111.43
1285.45,16428.21
1287.61,16454.95
1261.49,15696.69
1283.72,16460.68
1264.03,16659.64
1266.99,16257.83
1287.24,15713.45
1289.43,16101.91
1287.23,15663.34
1281.42,16115.63
1307.25,16339.73
1302.95,16560.87
1294.87,17059.66
1295.5,17563.37
1289.12,17233.82
1311.28,17403.96
1310.61,16906.23
1325.76,17153.77
1291.24,16601.78
1267.03,16155.45
1280.16,15970.76
1288.22,15789.31
1252.3,14750.84
1251.54,14879.34
1244.5,15124.04
1270.2,15505.18
1265.48,15307.61
1236.2,14845.24
1240.29,14821.26
1278.55,15342.87
1279.36,15499.18
1266.74,15565.02
1302.3,16105.98
1295.09,15938.66
1311.01,16134.25
1298.92,16080.46
1319.66,15866.93
1314.78,15634.67
1335.85,16127.58
1349.59,16436.06
1365.62,16536.54
1368.6,16651.63
1377.34,16669.07
1364.3,16350.02
1380.9,16112.43
1401.2,16091.73
1400.95,15734.6
1396.71,16321.78
1409.84,16417.82
1427.09,16914.31
1410.76,17104.96
1418.3,17225.83
1409.71,17091.59
1430.73,17057.01
1430.5,17310.44
1422.18,17421.93
1448.39,17547.11
1438.06,17504.33
1455.54,17875.65
1451.19,18188.42
1387.17,17217.93
1402.84,17164.04
1386.95,16744.15
1436.11,17480.61
1420.86,17287.65
1443.76,17484.78
1452.85,17363.95
1484.35,17452.62
1494.07,17400.41
1505.62,17394.92
1505.85,17553.72
1522.75,17399.58
1515.73,17481.21
1536.34,17958.88
1507.67,17779.09
1532.91,17971.49
1502.56,18188.63
1503.35,18138.36
1530.44,18140.94
1552.5,18238.95
1534.1,18157.93
1458.95,17283.81
1433.06,16979.86
1453.64,16764.09
1445.94,15273.68
1479.37,16248.97
1473.99,16569.09
1453.55,16122.16
1484.25,16127.42
1525.75,16312.61
1526.75,16785.69
1557.59,17065.04
1561.8,17331.17
1500.63,16814.37
1535.28,16505.63
1509.65,16517.48
1453.7,15583.42
1458.74,15154.61
1440.7,14888.77
1481.14,15680.67
1504.66,15956.37
1467.95,15514.51
1484.46,15257
1478.49,15307.78
1411.63,14691.41
1401.02,14110.79
1325.19,13861.29
1330.61,13629.16
1395.42,13497.16
1331.29,13017.24
1349.99,13622.56
1353.11,13500.46
1330.63,13603.02
1293.37,12782.8
1288.14,12241.6
1329.51,12482.57
1315.22,12820.47
1370.4,13293.22
1332.83,13323.73
1390.33,13476.45
1397.84,13863.47
1413.9,14049.26
1388.28,13655.34
1425.35,14219.48
1375.93,14012.2
1400.38,14338.54
1360.68,14489.44
1360.03,13973.73
1317.93,13942.08
1278.38,13544.36
1262.9,13237.89
1239.49,13039.69
1260.68,12803.7
1257.76,13334.76
1260.31,13094.59
1296.32,13168.41
1298.2,13019.41
1292.2,12666.04
1282.83,13072.87
1242.31,12212.23
1251.7,12214.76
1255.08,11920.86
1213.27,11893.16
1099.23,10938.14
899.22,8276.43
940.55,8693.82
876.77,7649.08
968.75,8576.98
930.99,8583
873.29,8462.39
800.03,7910.79
896.24,8512.27
876.07,7917.51
879.73,8235.87
887.88,8588.52
872.8,8739.52
931.8,8859.56
890.35,8836.8
850.12,8230.15
831.95,7745.25
825.88,7994.05
868.6,8076.62
826.84,7779.4
770.05,7416.38
735.09,7568.42
683.38,7173.1
756.55,7569.28
768.54,7945.96
815.94,8626.97
842.5,8749.84
856.56,8964.11
869.6,8907.58
866.23,8707.99
877.52,8977.37
929.23,9432.83
882.88,9265.02
887,9225.81
919.14,9522.5
940.09,9768.01
946.21,10135.82
921.23,9786.26
918.9,9877.39
896.42,9816.07
879.13,9287.28
940.38,9395.32
979.26,9944.55
987.48,10356.83
1010.48,10412.09
1004.09,10597.33
1026.13,10238.2
1028.93,10534.14
1016.4,10187.11
1042.73,10444.33
1068.3,10370.54
1044.38,10265.98
1025.21,9731.87
1071.49,10016.39
1087.68,10257.56
1079.6,10282.99
1036.19,10034.74
1069.3,9789.35
1093.48,9770.31
1091.38,9497.68
1091.49,9081.52
1105.98,10022.59
1106.41,10107.87
1102.47,10142.05
1126.48,10494.71
1115.1,10546.44
1144.98,10798.32
1136.03,10982.1
1091.76,10590.55
1073.87,10198.04
1066.19,10057.09
1075.51,10092.19
1109.17,10123.58
1104.49,10126.03
1138.7,10368.96
1149.99,10751.26
1159.9,10824.72
1166.59,10996.37
1178.1,11286.09
1194.37,11204.34
1192.13,11102.18
1217.28,10914.46
1186.69,11057.4
1110.88,10364.59
1135.68,10462.51
1087.69,9784.54
1089.41,9762.98
1064.88,9901.19
1091.6,9705.25
1117.51,9995.02
1076.76,9737.48
1022.58,9203.71
1077.96,9585.32
1064.88,9408.36
1102.66,9430.96
1101.6,9537.3
1121.64,9642.12
1079.25,9253.46
1071.69,9179.38
1064.59,8991.06
1104.51,9114.13
1109.55,9239.17
1125.59,9626.09
1148.67,9471.67
1146.24,9404.23
1165.15,9588.88
1176.19,9500.25
1183.08,9426.71
1183.26,9202.45
1225.85,9625.99
1199.21,9724.81
1199.73,10022.39
1189.4,10039.56
1224.71,10178.32
1240.4,10211.95
1243.91,10303.83
1256.77,10279.19
1257.64,10228.92
1271.5,10541.04
1293.24,10499.04
1283.35,10274.52
1276.34,10360.34
